yGraph
Time (Seconds),y_Estimate (Meters),y_Real (Meters),Data (Meters)
0.000000,0.002918,0.012591,-0.036767
0.050000,0.002918,0.014104,-0.036767
0.100000,0.002918,0.393534,0.001758
0.150000,0.002918,1.056212,0.379830
0.200000,1.056212,1.553416,1.056212
0.250000,1.553417,1.722330,1.553417
0.300000,1.722330,1.532134,1.722330
0.350000,1.532134,1.037937,1.532134
0.400000,1.037937,0.387295,1.037937
0.450000,0.387295,-0.197190,0.387295
0.500000,-0.197190,-0.542714,-0.197190
0.550000,-0.542714,-0.627173,-0.542714
0.600000,-0.627174,-0.540159,-0.627174
0.650000,-0.540159,-0.408020,-0.540159
0.700000,-0.408020,-0.354328,-0.408020
0.750000,-0.354328,-0.436196,-0.354328
0.800000,-0.436196,-0.646623,-0.436196
0.850000,-0.646623,-0.928652,-0.646623
0.900000,-0.928652,-1.203406,-0.928652
0.950000,-1.203406,-1.414774,-1.203407
1.000000,-1.414774,-1.544744,-1.414774
1.050000,-1.544744,-1.598912,-1.544745
1.100000,-1.598912,-1.604172,-1.598912
1.150000,-1.604172,-1.595936,-1.604172
1.200000,-1.595936,-1.602130,-1.595937
1.250000,-1.602130,-1.624979,-1.602130
1.300000,-1.624979,-1.657416,-1.624979
1.350000,-1.657416,-1.694761,-1.657416
1.400000,-1.694761,-1.733968,-1.694761
1.450000,-1.733968,-1.760929,-1.733968
1.500000,-1.760930,-1.768206,-1.760930
1.550000,-1.768206,-1.751981,-1.768206
1.600000,-1.751981,-1.715739,-1.751981
1.650000,-1.715739,-1.667194,-1.715739
1.700000,-1.667194,-1.615589,-1.667194
1.750000,-1.615590,-1.567428,-1.615589
1.800000,-1.567428,-1.525661,-1.567429
1.850000,-1.525661,-1.488822,-1.525661
1.900000,-1.488822,-1.454774,-1.488822
1.950000,-1.454774,-1.419913,-1.454774
2.000000,-1.419913,-1.381768,-1.419913
2.050000,-1.381768,-1.338085,-1.381768
2.100000,-1.338085,-1.290492,-1.338085
2.150000,-1.290492,-1.241545,-1.290492
2.200000,-1.241544,-1.190123,-1.241544
2.250000,-1.190123,-1.147954,-1.190123
2.300000,-1.147954,-1.110746,-1.147954
2.350000,-1.110747,-1.079902,-1.110747
2.400000,-1.079902,-1.052835,-1.079902
2.450000,-1.052835,-1.028525,-1.052835
2.500000,-1.028525,-1.006805,-1.028525
2.550000,-1.006806,-0.987358,-1.006806
2.600000,-0.987358,-0.970624,-0.987358
2.650000,-0.970624,-0.956426,-0.970624
2.700000,-0.956426,-0.945050,-0.956426
2.750000,-0.945050,-0.936162,-0.945050
2.800000,-0.936162,-0.930019,-0.936162
2.850000,-0.930019,-0.926396,-0.930019
2.900000,-0.926396,-0.925570,-0.926396
2.950000,-0.925570,-0.926995,-0.925570
3.000000,-0.926995,-0.930591,-0.926995
3.050000,-0.930591,-0.935491,-0.930591
3.100000,-0.935492,-0.941260,-0.935491
3.150000,-0.941260,-0.947592,-0.941260
3.200000,-0.947592,-0.954825,-0.947592
3.250000,-0.954825,-0.962574,-0.954825
3.300000,-0.962574,-0.970947,-0.962574
3.350000,-0.970947,-0.979467,-0.970947
3.400000,-0.979467,-0.988256,-0.979467
3.450000,-0.988256,-0.996852,-0.988256
3.500000,-0.996853,-1.005476,-0.996853
3.550000,-1.005476,-1.013740,-1.005476
3.600000,-1.013740,-1.021859,-1.013740
3.650000,-1.021859,-1.029421,-1.021859
3.700000,-1.029421,-1.033482,-1.029421
3.750000,-1.033482,-1.041193,-1.033482
3.800000,-1.041193,-1.048680,-1.041193
3.850000,-1.048681,-1.054589,-1.048680
3.900000,-1.054589,-1.060506,-1.054589
3.950000,-1.060506,-1.063680,-1.060506
4.000000,-1.063680,-1.067668,-1.063680
4.050000,-1.067668,-1.069759,-1.067668
4.100000,-1.069760,-1.071123,-1.069760
4.150000,-1.071123,-1.071669,-1.071123
4.200000,-1.071668,-1.068517,-1.071669
4.250000,-1.068517,-1.067895,-1.068517
