yGraph
Time (Seconds),y_Estimate (Meters),y_Real (Meters),Data (Meters)
0.000000,0.002918,0.012591,-0.036767
0.050000,0.002918,0.014684,-0.036767
0.100000,0.002918,0.398144,-0.036767
0.150000,0.002918,1.066273,0.383606
0.200000,0.002918,1.564812,1.045389
0.250000,1.564811,1.732437,1.564811
0.300000,1.732437,1.539191,1.732437
0.350000,1.539191,1.040472,1.539192
0.400000,1.040473,0.385005,1.040473
0.450000,0.385005,-0.202451,0.385005
0.500000,-0.202451,-0.548117,-0.202451
0.550000,-0.548117,-0.630600,-0.548117
0.600000,-0.630600,-0.540998,-0.630600
0.650000,-0.540998,-0.407164,-0.540998
0.700000,-0.407164,-0.353719,-0.407165
0.750000,-0.353719,-0.437955,-0.353719
0.800000,-0.437955,-0.651972,-0.437955
0.850000,-0.651973,-0.937770,-0.651972
0.900000,-0.937770,-1.214633,-0.937770
0.950000,-1.214633,-1.426922,-1.214633
1.000000,-1.426922,-1.556658,-1.426922
1.050000,-1.556659,-1.609965,-1.556659
1.100000,-1.609965,-1.614714,-1.609965
1.150000,-1.614714,-1.606396,-1.614715
1.200000,-1.606396,-1.613752,-1.606396
1.250000,-1.613751,-1.636678,-1.613751
1.300000,-1.636678,-1.668712,-1.636678
1.350000,-1.668712,-1.707588,-1.668713
1.400000,-1.707589,-1.747726,-1.707589
1.450000,-1.747727,-1.773697,-1.747727
1.500000,-1.773697,-1.781029,-1.773697
1.550000,-1.781029,-1.764653,-1.781029
1.600000,-1.764654,-1.728333,-1.764653
1.650000,-1.728333,-1.679290,-1.728333
1.700000,-1.679290,-1.627522,-1.679291
1.750000,-1.627522,-1.579276,-1.627522
1.800000,-1.579276,-1.537247,-1.579276
1.850000,-1.537247,-1.500202,-1.537247
1.900000,-1.500202,-1.465567,-1.500202
1.950000,-1.465567,-1.429960,-1.465567
2.000000,-1.429960,-1.390582,-1.429960
2.050000,-1.390582,-1.343775,-1.390582
2.100000,-1.343775,-1.283970,-1.343775
2.150000,-1.283970,-1.234595,-1.283971
2.200000,-1.234596,-1.191552,-1.234596
2.250000,-1.191552,-1.151162,-1.191552
2.300000,-1.151162,-1.115757,-1.151162
2.350000,-1.115757,-1.083982,-1.115757
2.400000,-1.083983,-1.056146,-1.083983
2.450000,-1.056146,-1.031478,-1.056146
2.500000,-1.031478,-1.009874,-1.031478
2.550000,-1.009874,-0.990807,-1.009874
2.600000,-0.990807,-0.974516,-0.990807
2.650000,-0.974516,-0.960656,-0.974516
2.700000,-0.960656,-0.949506,-0.960656
2.750000,-0.949505,-0.940958,-0.949505
2.800000,-0.940958,-0.935371,-0.940958
2.850000,-0.935370,-0.932623,-0.935370
2.900000,-0.932624,-0.932488,-0.932623
